,ihs_match,Type
1273,METHANOL FROM COKE OVEN GAS,Coke oven gas
1274,METHANOL FROM EASTMAN CARBON RENEWAL TECHNOLOGY,Coal
1275,METHANOL FROM ENERKEM FEEDSTOCK (PLASTICS) CHEMICAL RECYCLING PROCESS,Recycled plastic
1276,METHANOL FROM FLOATING METHANOL PRODUCTION,Other
1277,METHANOL FROM NATURAL GAS BY THE HALDOR TOPSOE TWO-STAGE REFORMING PROCESS,Natural Gas
1278,METHANOL FROM NATURAL GAS BY THE ICI COPPER-BASED CATALYST PROCESS,Natural Gas
1279,METHANOL FROM NATURAL GAS BY THE LURGI COMBINED REFORMING PROCESS,Natural Gas
1280,METHANOL FROM NATURAL GAS BY THE ICI TWO-STAGE REFORMING LCM PROCESS,Natural Gas
1281,METHANOL ON MEGA SCALE,Natural Gas
1282,METHANOL PRODUCTION BY JOHNSON MATTHEY TWO-STAGE PROCESS,Natural Gas
1283,METHANOL PRODUCTION VIA TOYO PROCESS,Natural Gas
1284,METHANOL PRODUCTION VIA TOYO TECHNOLOGY,Natural Gas
1285,METHANOL FROM COAL VIA SIEMENS GASIFICATION,Coal
1286,METHANOL FROM NATURAL GAS BY THE ICI LCM PROCESS,Natural Gas
1287,METHANOL FROM COAL VIA SHELL GASIFICATION,Coal
1288,METHANOL PRODUCTION FROM COKING GAS,Coke oven gas
1289,METHANOL FROM COAL VIA GE QUENCH GASIFICATION,Coal
1290,METHANOL (MEGA SCALE) FROM SYNGAS VIA TOYO ENGINEERING TECHNOLOGY,Syngas
1291,METHANOL (MEGA SCALE) FROM SYNGAS VIA LURGI TECHNOLOGY,Syngas
1292,METHANOL (MEGA SCALE) FROM SYNGAS VIA JM/ICI/DPT TECHNOLOGY,Syngas
1293,METHANOL (MEGA SCALE) FROM SYNGAS VIA HALDOR TOPSOE TECHNOLOGY,Syngas
1294,GREEN METHANOL PRODUCTION PROCESS,Other
1295,METHANOL (MEGA SCALE) VIA HALDOR TOPSOE TECHNOLOGY,Natural Gas
1296,METHANOL (MEGA SCALE) VIA JM/ICI/DPT TECHNOLOGY,Natural Gas
1297,METHANOL (MEGA SCALE) VIA LURGI TECHNOLOGY,Natural Gas
1298,METHANOL (MEGA SCALE) VIA TOYO ENGINEERING TECHNOLOGY,Natural Gas
1299,METHANOL BY BSE'S FLEXMETHANOL PROCESS,Carbon dioxide
1300,METHANOL FROM COAL VIA GE RADIANT GASIFICATION,Coal
1301,METHANOL BY HALDOR TOPSOE AUTOTHERMAL REFORMING-BASED PROCESS,Natural Gas
1302,METHANOL BY JOHNSON MATTHEY/DAVY TWO-STAGE REFORMING-BASED PROCESS,Natural Gas
1303,METHANOL BY LOW CARBON DIOXIDE EMISSIOIN PROCESS,Natural Gas
1304,METHANOL BY LURGI COMBINED REFORMING-BASED PROCESS,Natural Gas
1305,METHANOL FROM COAL VIA E-GAS GASIFICATION,Coal
1306,METHANOL FROM COAL PROCESS,Coal
1307,METHANOL FROM BITUMINOUS COAL VIA LURGI TECHNOLOGY,Coal
1308,METHANOL FROM BITUMINOUS COAL,Coal
1309,METHANOL FROM BIOMASS PROCESS,Wood
1310,METHANOL BY CASALE COMBINED REFORMING-BASED PROCESS,Natural Gas
