PRODUCT,ROUTE,ihs_match
ABS,VIRGIN RESIN,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION
ABS,VIRGIN RESIN,ABS RESIN BY EMULSION POLYMERIZATION
ABS,VIRGIN RESIN,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED"
ABS,VIRGIN RESIN,ABS RESIN BY EMULSION POLYMERIZATION (JSR)
ABS,VIRGIN RESIN,ABS RESIN BY EMULSION/MASS POLYMERIZATION
ABS,VIRGIN RESIN,ABS RESIN PRODUCTION
ACRYLIC ACID,PROPYLENE,"ACRYLIC ACID, GLACIAL FROM PROPYLENE OXIDATION USING NIPPON SHOKUBAI TECHNOLOGY"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL, BY THE MITSUBISHI PROCESS"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL BY THE LURGI/NIPPON KAYAKU PROCESS"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL BY THE MITSUBISHI PROCESS"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL BY THE UPDATED NIPPON SHOKUBAI PROCESS"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL FROM ACETYLENE BY CATALYTIC PROCESS"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL FROM PROPYLENE OXIDATION USING NIPPON SHOKUBAI TECHNOLOGY"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL, BY PROPANE OXIDATION"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL, BY THE ADVANCED NIPPON SHOKUBAI PROCESS"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL BY BASF PROCESS"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL BY THE ADVANCED BASF PROCESS"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL, FROM GLYCERIN USING NIPPON SHOKUBAI TECHNOLOGY"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL, USING CONVENTIONAL NIPPON SHOKUBAI TECHNOLOGY"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL, FROM SUGAR VIA 3-HPA USING OPX TECHNOLOGY"
ACRYLIC ACID,ACRYLONITRILE,"ACRYLIC ACID, GLACIAL BY NIPPON SHOKUBAI PROCESS"
ACRYLIC ACID,ACETYLENE,"ACRYLIC ACID, GLACIAL FROM ACETYLENE BY CATALYTIC PROCESS"
ACRYLIC ACID ESTERS,N-BUTYL ACRYLATE,"ACRYLIC ACID, ESTER GRADE, BY BASF PROCESS"
ACRYLIC ACID ESTERS,2-ETHYLHEXYL ACRYLATE,"ACRYLIC ACID, ESTER GRADE, BY BASF PROCESS"
ACRYLIC ACID ESTERS,METHYL ACRYLATE,"ACRYLIC ACID, ESTER GRADE, BY BASF PROCESS"
ACRYLIC ACID ESTERS,ETHYL ACRYLATE,"ACRYLIC ACID, ESTER GRADE, BY BASF PROCESS"
ACRYLIC FIBRES,0,
ADIPONITRILE,ACRYLONITRILE,HEXAMETHYLENEDIAMINE FROM ACRYLONITRILE VIA ADIPONITRILE BY ELECTROHYDRODIMERIZATION
ADIPONITRILE,ADIPIC ACID,HEXAMETHYLENEDIAMINE FROM ADIPIC ACID VIA ADIPONITRILE BY AMMONIATION AND HYDROGENATION
ADIPONITRILE,BUTADIENE,HEXAMETHYLENEDIAMINE FROM BUTADIENE VIA ADIPONITRILE BY HYDROCYANATION
ALKYLATION,ALKYLATION,ALKYCLEAN™ PROCESS FOR C4 ALKYLATION BY CB&I/ALBEMARLE/NESTE
ALKYLATION,ALKYLATION-HYDROFLUORIC,ALKYCLEAN™ PROCESS FOR C4 ALKYLATION BY CB&I/ALBEMARLE/NESTE
ALKYLATION,ALKYLATION-SULFURIC,ALKYCLEAN™ PROCESS FOR C4 ALKYLATION BY CB&I/ALBEMARLE/NESTE
ALKYLBENZENE,BENZENE,
ASPHALT,ASPHALT,
BIOGASOLINE,RENEWABLE,BIODIESEL FROM REFINED VEGETABLE OIL VIA ALKALINE CATALYSIS
BIOJET (SAF),RENEWABLE,
BIOLPG,RENEWABLE,
BIONAPHTHA,RENEWABLE,"NAPHTHA, AROMATIC FROM LIGHT OLEFINS FCC-WITHOUT ARU"
