,ihs_match,PRODUCT,ROUTE,TECHNOLOGY,LICENSOR
17,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE","1,4-BUTANEDIOL",ACETYLENE,REPPE,LINDE
19,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE (1,4-BUTYNEDIOL INTERMEDIATE)","1,4-BUTANEDIOL",ACETYLENE,REPPE,LINDE
17,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE","1,4-BUTANEDIOL",ACETYLENE,REPPE,n.a.
19,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE (1,4-BUTYNEDIOL INTERMEDIATE)","1,4-BUTANEDIOL",ACETYLENE,REPPE,n.a.
17,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE","1,4-BUTANEDIOL",ACETYLENE,n.a.,n.a.
19,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE (1,4-BUTYNEDIOL INTERMEDIATE)","1,4-BUTANEDIOL",ACETYLENE,n.a.,n.a.
17,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
19,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE (1,4-BUTYNEDIOL INTERMEDIATE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
18,"1,4-BUTANEDIOL FROM BUTADIENE","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
12,"1,4-BUTANEDIOL FROM BUTANE VIA MALEIC ACID HYDROGENATION","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
13,"1,4-BUTANEDIOL FROM GLUCOSE (DIRECT ROUTE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
14,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
15,"1,4-BUTANEDIOL FROM PROPYLENE OXIDE (ALLYL ALCOHOL INTERMEDIATE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
16,"BIO-BASED 1,4-BUTANEDIOL VIA SUCCINIC ACID ROUTE (INDIRECT ROUTE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,FERMENTATION,GENOMATICA
17,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
19,"1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE (1,4-BUTYNEDIOL INTERMEDIATE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
18,"1,4-BUTANEDIOL FROM BUTADIENE","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
12,"1,4-BUTANEDIOL FROM BUTANE VIA MALEIC ACID HYDROGENATION","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
13,"1,4-BUTANEDIOL FROM GLUCOSE (DIRECT ROUTE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
14,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
15,"1,4-BUTANEDIOL FROM PROPYLENE OXIDE (ALLYL ALCOHOL INTERMEDIATE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
16,"BIO-BASED 1,4-BUTANEDIOL VIA SUCCINIC ACID ROUTE (INDIRECT ROUTE)","1,4-BUTANEDIOL",BIO SUCCINIC ACID,n.a.,n.a.
18,"1,4-BUTANEDIOL FROM BUTADIENE","1,4-BUTANEDIOL",BUTADIENE,BDACETIC,MITSUBISHI
18,"1,4-BUTANEDIOL FROM BUTADIENE","1,4-BUTANEDIOL",BUTADIENE,BDACETIC,n.a.
14,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,GEMINOX,BP/LURGI
14,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,GEMINOX,n.a.
14,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,HYDRATION,BASF
