Column1,Code,Data Version,Source/Object,Type,Target/Process,Research Year,Country/Reg,Product,Value,Value unit,Capacity unit,Product group,Product type,MeasType,Provenance,Value_sigma,ei_match,ei_CO2e_20a_cradle-to-gate,ei_CO2e_20a_cradle-to-gate_sigma,ei_CO2e_20a_conv_factor,ei_CO2e_20a_conv_factor_sigma,ei_CO2e_100a_cradle-to-gate,ei_CO2e_100a_cradle-to-gate_sigma,ei_CO2e_100a_conv_factor,ei_CO2e_100a_conv_factor_sigma,ei_Carbon dioxide_cradle-to-gate,ei_Carbon dioxide_cradle-to-gate_sigma,ei_Carbon dioxide_conv_factor,ei_Carbon dioxide_conv_factor_sigma,ei_Carbon monoxide_cradle-to-gate,ei_Carbon monoxide_cradle-to-gate_sigma,ei_Carbon monoxide_conv_factor,ei_Carbon monoxide_conv_factor_sigma,ei_Chloroform_cradle-to-gate,ei_Chloroform_cradle-to-gate_sigma,ei_Chloroform_conv_factor,ei_Chloroform_conv_factor_sigma,ei_Dinitrogen monoxide_cradle-to-gate,ei_Dinitrogen monoxide_cradle-to-gate_sigma,ei_Dinitrogen monoxide_conv_factor,ei_Dinitrogen monoxide_conv_factor_sigma,ei_Ethane_cradle-to-gate,ei_Ethane_cradle-to-gate_sigma,ei_Ethane_conv_factor,ei_Ethane_conv_factor_sigma,ei_Methane_cradle-to-gate,ei_Methane_cradle-to-gate_sigma,ei_Methane_conv_factor,ei_Methane_conv_factor_sigma,ei_Nitric oxide_cradle-to-gate,ei_Nitric oxide_cradle-to-gate_sigma,ei_Nitric oxide_conv_factor,ei_Nitric oxide_conv_factor_sigma,ei_Nitrogen fluoride_cradle-to-gate,ei_Nitrogen fluoride_cradle-to-gate_sigma,ei_Nitrogen fluoride_conv_factor,ei_Nitrogen fluoride_conv_factor_sigma,ei_Perfluoropentane_cradle-to-gate,ei_Perfluoropentane_cradle-to-gate_sigma,ei_Perfluoropentane_conv_factor,ei_Perfluoropentane_conv_factor_sigma,ei_Sulfur hexafluoride_cradle-to-gate,ei_Sulfur hexafluoride_cradle-to-gate_sigma,ei_Sulfur hexafluoride_conv_factor,ei_Sulfur hexafluoride_conv_factor_sigma,ei_Other_cradle-to-gate,ei_Other_cradle-to-gate_sigma,ei_Other_conv_factor,ei_Other_conv_factor_sigma,cm_match,cm_CO2e_20a_cradle-to-gate,cm_CO2e_20a_cradle-to-gate_sigma,cm_CO2e_20a_conv_factor,cm_CO2e_20a_conv_factor_sigma,cm_CO2e_100a_cradle-to-gate,cm_CO2e_100a_cradle-to-gate_sigma,cm_CO2e_100a_conv_factor,cm_CO2e_100a_conv_factor_sigma,cm_Carbon dioxide_cradle-to-gate,cm_Carbon dioxide_cradle-to-gate_sigma,cm_Carbon dioxide_conv_factor,cm_Carbon dioxide_conv_factor_sigma,cm_Carbon monoxide_cradle-to-gate,cm_Carbon monoxide_cradle-to-gate_sigma,cm_Carbon monoxide_conv_factor,cm_Carbon monoxide_conv_factor_sigma,cm_Chloroform_cradle-to-gate,cm_Chloroform_cradle-to-gate_sigma,cm_Chloroform_conv_factor,cm_Chloroform_conv_factor_sigma,cm_Dinitrogen monoxide_cradle-to-gate,cm_Dinitrogen monoxide_cradle-to-gate_sigma,cm_Dinitrogen monoxide_conv_factor,cm_Dinitrogen monoxide_conv_factor_sigma,cm_Ethane_cradle-to-gate,cm_Ethane_cradle-to-gate_sigma,cm_Ethane_conv_factor,cm_Ethane_conv_factor_sigma,cm_Methane_cradle-to-gate,cm_Methane_cradle-to-gate_sigma,cm_Methane_conv_factor,cm_Methane_conv_factor_sigma,cm_Nitric oxide_cradle-to-gate,cm_Nitric oxide_cradle-to-gate_sigma,cm_Nitric oxide_conv_factor,cm_Nitric oxide_conv_factor_sigma,cm_Nitrogen fluoride_cradle-to-gate,cm_Nitrogen fluoride_cradle-to-gate_sigma,cm_Nitrogen fluoride_conv_factor,cm_Nitrogen fluoride_conv_factor_sigma,cm_Perfluoropentane_cradle-to-gate,cm_Perfluoropentane_cradle-to-gate_sigma,cm_Perfluoropentane_conv_factor,cm_Perfluoropentane_conv_factor_sigma,cm_Sulfur hexafluoride_cradle-to-gate,cm_Sulfur hexafluoride_cradle-to-gate_sigma,cm_Sulfur hexafluoride_conv_factor,cm_Sulfur hexafluoride_conv_factor_sigma,cm_Other_cradle-to-gate,cm_Other_cradle-to-gate_sigma,cm_Other_conv_factor,cm_Other_conv_factor_sigma
18486,2M-846,2021 Q3,BTX EXTRACTION RAFFINATE,By-Product,BENZENE AND TOLUENE (1:4.63) FROM REFORMATE BY CAROM(TM) EXTRACTION,1997,Germany,BENZENE,-0.8111,kg/kg,MM KG/yr,Primary chemicals,Primary chemicals,Recipe,IHS PEP,0.040555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18487,2M-846,2021 Q3,C8+ AROMATICS,By-Product,BENZENE AND TOLUENE (1:4.63) FROM REFORMATE BY CAROM(TM) EXTRACTION,1997,Germany,BENZENE,-0.0402,kg/kg,MM KG/yr,Primary chemicals,Primary chemicals,Recipe,IHS PEP,0.00201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18487,2M-846,2021 Q3,TOLUENE,By-Product,BENZENE AND TOLUENE (1:4.63) FROM REFORMATE BY CAROM(TM) EXTRACTION,1996,Germany,BENZENE,-4.63,kg/kg,MM KG/yr,Primary chemicals,Primary chemicals,Recipe,IHS PEP,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18488,2M-846,2021 Q3,REFORMATE SPLITTER BTMS,By-Product,BENZENE AND TOLUENE (1:4.63) FROM REFORMATE BY CAROM(TM) EXTRACTION,1997,Germany,BENZENE,-2.5909,kg/kg,MM KG/yr,Primary chemicals,Primary chemicals,Recipe,IHS PEP,0.129545,reformate,-1.688300728,-0.084415036,0.6516271286109647,0.065162713,-1.490968623,-0.074548431,0.5754635928035374,0.057546359,-1.369052724,-0.068452636,0.528408169,0.052840817,-0.002057357,-0.000102868,0.00079407,7.940703448908002e-05,-8.93E-10,-4.46E-11,3.44552164e-10,3.44552164e-11,-4.26E-05,-2.13E-06,1.64602088354e-05,1.64602088354e-06,-5.87E-09,-2.94E-10,2.2672794291498103e-09,2.2672794291498102e-10,-0.003398736,-0.000169937,0.001311797,0.00013118,-9.51E-10,-4.75E-11,3.6690777e-10,3.669077700000001e-11,-2.46E-17,-1.23E-18,9.4928168e-18,9.492816799999999e-19,0,0,0,0,-2.20E-08,-1.10E-09,8.486046437965321e-09,8.48604643796532e-10,-2.52E-09,-1.26E-10,9.7357546e-10,9.735754599999999e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7161,2M-846,2021 Q3,COOLING WATER,Direct Utilities,BENZENE AND TOLUENE (1:4.63) FROM REFORMATE BY CAROM(TM) EXTRACTION,1997,Germany,BENZENE,6.142214782,kg/kg,MM KG/yr,Primary chemicals,Primary chemicals,Utilities,IHS PEP,0.307110739,COOLING WATER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7162,2M-846,2021 Q3,ELECTRICITY,Direct Utilities,BENZENE AND TOLUENE (1:4.63) FROM REFORMATE BY CAROM(TM) EXTRACTION,1997,Germany,BENZENE,0.018915662,kWh/kg,MM KG/yr,Primary chemicals,Primary chemicals,Utilities,IHS PEP,0.000945783,ELECTRICITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7164,2M-846,2021 Q3,NATURAL GAS,Direct Utilities,BENZENE AND TOLUENE (1:4.63) FROM REFORMATE BY CAROM(TM) EXTRACTION,1997,Germany,BENZENE,0.1125752868068833,kg/kg,MM KG/yr,Primary chemicals,Primary chemicals,Utilities,IHS PEP,0.005628764,NATURAL GAS,0.3039532743785849,0.026455192,2.7,0.1,0.3039532743785849,0.026455192,2.7,0.1,0.3039532743785849,0.026455192,2.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7163,2M-846,2021 Q3,STEAM,Direct Utilities,BENZENE AND TOLUENE (1:4.63) FROM REFORMATE BY CAROM(TM) EXTRACTION,1997,Germany,BENZENE,0.741,kg/kg,MM KG/yr,Primary chemicals,Primary chemicals,Utilities,IHS PEP,0.03705,STEAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18492,2M-846,2021 Q3,COOLING WATER,Indirect Utilities,BENZENE AND TOLUENE (1:4.63) FROM REFORMATE BY CAROM(TM) EXTRACTION,1997,Germany,BENZENE,6.142214782,kg/kg,MM KG/yr,Primary chemicals,Primary chemicals,Utilities,IHS PEP,0.307110739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18493,2M-846,2021 Q3,ELECTRICITY,Indirect Utilities,BENZENE AND TOLUENE (1:4.63) FROM REFORMATE BY CAROM(TM) EXTRACTION,1997,Germany,BENZENE,0.018915662,kWh/kg,MM KG/yr,Primary chemicals,Primary chemicals,Utilities,IHS PEP,0.000945783,"electricity, medium voltage",0.012577194,0.001886579,0.6649090277047398,0.066490903,0.011066442,0.001659966,0.5850412058672869,0.058504121,0.010074367,0.001511155,0.5325939169892919,0.053259392,7.120265783387878e-06,1.0680398675081724e-06,0.000376422,3.764217053283001e-05,4.423942444538915e-11,6.635913666808315e-12,2.3387721889999997e-09,2.3387721889999997e-10,3.325412866567029e-07,4.9881192998504994e-08,1.758020866404e-05,1.758020866404e-06,9.132741439048435e-11,1.3699112158572531e-11,4.828137335588799e-09,4.8281373355888e-10,2.716567050309439e-05,4.074850575461663e-06,0.001436147,0.000143615,4.8021017337659383e-14,7.203152600648843e-15,2.5386908e-12,2.5386908e-13,2.2291324671091804e-19,3.343698700663741e-20,1.1784586e-17,1.1784586000000002e-18,0,0,0,0,2.926007401765563e-09,4.3890111026483054e-10,1.5468702004713098e-07,1.54687020047131e-08,1.7327680723994548e-13,2.5991521085991587e-14,9.1604939e-12,9.1604939e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
