Column1,Code,Data Version,Source/Object,Type,Target/Process,Research Year,Country/Reg,Product,Value,Value unit,Capacity unit,MeasType,Provenance,Value_sigma,ei_match,ei_CO2e_20a_cradle-to-gate,ei_CO2e_20a_cradle-to-gate_sigma,ei_CO2e_20a_conv_factor,ei_CO2e_20a_conv_factor_sigma,ei_CO2e_100a_cradle-to-gate,ei_CO2e_100a_cradle-to-gate_sigma,ei_CO2e_100a_conv_factor,ei_CO2e_100a_conv_factor_sigma,ei_Carbon dioxide_cradle-to-gate,ei_Carbon dioxide_cradle-to-gate_sigma,ei_Carbon dioxide_conv_factor,ei_Carbon dioxide_conv_factor_sigma,ei_Carbon monoxide_cradle-to-gate,ei_Carbon monoxide_cradle-to-gate_sigma,ei_Carbon monoxide_conv_factor,ei_Carbon monoxide_conv_factor_sigma,ei_Chloroform_cradle-to-gate,ei_Chloroform_cradle-to-gate_sigma,ei_Chloroform_conv_factor,ei_Chloroform_conv_factor_sigma,ei_Dinitrogen monoxide_cradle-to-gate,ei_Dinitrogen monoxide_cradle-to-gate_sigma,ei_Dinitrogen monoxide_conv_factor,ei_Dinitrogen monoxide_conv_factor_sigma,ei_Ethane_cradle-to-gate,ei_Ethane_cradle-to-gate_sigma,ei_Ethane_conv_factor,ei_Ethane_conv_factor_sigma,ei_Methane_cradle-to-gate,ei_Methane_cradle-to-gate_sigma,ei_Methane_conv_factor,ei_Methane_conv_factor_sigma,ei_Nitric oxide_cradle-to-gate,ei_Nitric oxide_cradle-to-gate_sigma,ei_Nitric oxide_conv_factor,ei_Nitric oxide_conv_factor_sigma,ei_Nitrogen fluoride_cradle-to-gate,ei_Nitrogen fluoride_cradle-to-gate_sigma,ei_Nitrogen fluoride_conv_factor,ei_Nitrogen fluoride_conv_factor_sigma,ei_Perfluoropentane_cradle-to-gate,ei_Perfluoropentane_cradle-to-gate_sigma,ei_Perfluoropentane_conv_factor,ei_Perfluoropentane_conv_factor_sigma,ei_Sulfur hexafluoride_cradle-to-gate,ei_Sulfur hexafluoride_cradle-to-gate_sigma,ei_Sulfur hexafluoride_conv_factor,ei_Sulfur hexafluoride_conv_factor_sigma,ei_Other_cradle-to-gate,ei_Other_cradle-to-gate_sigma,ei_Other_conv_factor,ei_Other_conv_factor_sigma,cm_match,cm_CO2e_20a_cradle-to-gate,cm_CO2e_20a_cradle-to-gate_sigma,cm_CO2e_20a_conv_factor,cm_CO2e_20a_conv_factor_sigma,cm_CO2e_100a_cradle-to-gate,cm_CO2e_100a_cradle-to-gate_sigma,cm_CO2e_100a_conv_factor,cm_CO2e_100a_conv_factor_sigma,cm_Carbon dioxide_cradle-to-gate,cm_Carbon dioxide_cradle-to-gate_sigma,cm_Carbon dioxide_conv_factor,cm_Carbon dioxide_conv_factor_sigma,cm_Carbon monoxide_cradle-to-gate,cm_Carbon monoxide_cradle-to-gate_sigma,cm_Carbon monoxide_conv_factor,cm_Carbon monoxide_conv_factor_sigma,cm_Chloroform_cradle-to-gate,cm_Chloroform_cradle-to-gate_sigma,cm_Chloroform_conv_factor,cm_Chloroform_conv_factor_sigma,cm_Dinitrogen monoxide_cradle-to-gate,cm_Dinitrogen monoxide_cradle-to-gate_sigma,cm_Dinitrogen monoxide_conv_factor,cm_Dinitrogen monoxide_conv_factor_sigma,cm_Ethane_cradle-to-gate,cm_Ethane_cradle-to-gate_sigma,cm_Ethane_conv_factor,cm_Ethane_conv_factor_sigma,cm_Methane_cradle-to-gate,cm_Methane_cradle-to-gate_sigma,cm_Methane_conv_factor,cm_Methane_conv_factor_sigma,cm_Nitric oxide_cradle-to-gate,cm_Nitric oxide_cradle-to-gate_sigma,cm_Nitric oxide_conv_factor,cm_Nitric oxide_conv_factor_sigma,cm_Nitrogen fluoride_cradle-to-gate,cm_Nitrogen fluoride_cradle-to-gate_sigma,cm_Nitrogen fluoride_conv_factor,cm_Nitrogen fluoride_conv_factor_sigma,cm_Perfluoropentane_cradle-to-gate,cm_Perfluoropentane_cradle-to-gate_sigma,cm_Perfluoropentane_conv_factor,cm_Perfluoropentane_conv_factor_sigma,cm_Sulfur hexafluoride_cradle-to-gate,cm_Sulfur hexafluoride_cradle-to-gate_sigma,cm_Sulfur hexafluoride_conv_factor,cm_Sulfur hexafluoride_conv_factor_sigma,cm_Other_cradle-to-gate,cm_Other_cradle-to-gate_sigma,cm_Other_conv_factor,cm_Other_conv_factor_sigma
3305,2M-1326,2021 Q3,FUEL GAS,By-Product,ETHYLENE FROM ETHANOL BY ADIABATIC FIXED-BED CATALYTIC DEHYDRATION,2007,Germany,ETHYLENE,-0.023673239,kg/kg,MM KG/yr,Recipe,IHS PEP,0.001183662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,2M-1326,2021 Q3,COOLING WATER,Direct Utilities,ETHYLENE FROM ETHANOL BY ADIABATIC FIXED-BED CATALYTIC DEHYDRATION,2007,Germany,ETHYLENE,50.74003516,kg/kg,MM KG/yr,Utilities,IHS PEP,2.537001757767665,COOLING WATER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,2M-1326,2021 Q3,ELECTRICITY,Direct Utilities,ETHYLENE FROM ETHANOL BY ADIABATIC FIXED-BED CATALYTIC DEHYDRATION,2007,Germany,ETHYLENE,0.010317634,kWh/kg,MM KG/yr,Utilities,IHS PEP,0.000515882,ELECTRICITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,2M-1326,2021 Q3,NATURAL GAS,Direct Utilities,ETHYLENE FROM ETHANOL BY ADIABATIC FIXED-BED CATALYTIC DEHYDRATION,2007,Germany,ETHYLENE,0.05651928,kg/kg,MM KG/yr,Utilities,IHS PEP,0.002825964,NATURAL GAS,0.1526020554493309,0.013282031,2.7,0.1,0.1526020554493309,0.013282031,2.7,0.1,0.1526020554493309,0.013282031,2.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,2M-1326,2021 Q3,PROCESS WATER,Direct Utilities,ETHYLENE FROM ETHANOL BY ADIABATIC FIXED-BED CATALYTIC DEHYDRATION,2007,Germany,ETHYLENE,0.008929579,kg/kg,MM KG/yr,Utilities,IHS PEP,0.000446479,PROCESS WATER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,2M-1326,2021 Q3,STEAM,Direct Utilities,ETHYLENE FROM ETHANOL BY ADIABATIC FIXED-BED CATALYTIC DEHYDRATION,2007,Germany,ETHYLENE,1.73,kg/kg,MM KG/yr,Utilities,IHS PEP,0.0865,STEAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3307,2M-1326,2021 Q3,COOLING WATER,Indirect Utilities,ETHYLENE FROM ETHANOL BY ADIABATIC FIXED-BED CATALYTIC DEHYDRATION,2007,Germany,ETHYLENE,50.74003516,kg/kg,MM KG/yr,Utilities,IHS PEP,2.537001757767665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,2M-1326,2021 Q3,ELECTRICITY,Indirect Utilities,ETHYLENE FROM ETHANOL BY ADIABATIC FIXED-BED CATALYTIC DEHYDRATION,2007,Germany,ETHYLENE,0.010317634,kWh/kg,MM KG/yr,Utilities,IHS PEP,0.000515882,"electricity, medium voltage",0.006860288,0.001029043,0.6649090277047398,0.066490903,0.006036241,0.000905436,0.5850412058672869,0.058504121,0.005495109,0.000824266,0.5325939169892919,0.053259392,3.883781336393399e-06,5.825672004590043e-07,0.000376422,3.764217053283001e-05,2.413059515203051e-11,3.619589272804541e-12,2.3387721889999997e-09,2.3387721889999997e-10,1.8138615635820204e-07,2.720792345373005e-08,1.758020866404e-05,1.758020866404e-06,4.9814953303900687e-11,7.472242995585034e-12,4.828137335588799e-09,4.8281373355888e-10,1.4817638456233344e-05,2.222645768433639e-06,0.001436147,0.000143615,2.6193282184177907e-14,3.9289923276266484e-15,2.5386908e-12,2.5386908e-13,1.2158904366050108e-19,1.823835654907499e-20,1.1784586e-17,1.1784586000000002e-18,0,0,0,0,1.596004037326675e-09,2.394006055989989e-10,1.5468702004713098e-07,1.54687020047131e-08,9.45146221308796e-14,1.4177193319631804e-14,9.1604939e-12,9.1604939e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2M-1326,2021 Q3,NATURAL GAS,Indirect Utilities,ETHYLENE FROM ETHANOL BY ADIABATIC FIXED-BED CATALYTIC DEHYDRATION,2007,Germany,ETHYLENE,0.05651928,kg/kg,MM KG/yr,Utilities,IHS PEP,0.002825964,"natural gas, high pressure",0.042470671,0.006370601,0.7514368803090485,0.075143688,0.022302538,0.003345381,0.394600531,0.039460053,0.011287942,0.001693191,0.199718439,0.019971844,3.083007130732499e-05,4.624510696098736e-06,0.000545479,5.454788422389e-05,1.1098945310309102e-13,1.6648417965463608e-14,1.963744999999996e-12,1.9637449999999962e-13,2.0530963372662186e-07,3.079644505899319e-08,3.632559269465e-06,3.632559269465e-07,2.2052381536705848e-11,3.307857230505869e-12,3.901744964954e-10,3.901744964954e-11,0.000364172,5.4625781936341305e-05,0.006443321,0.000644332,1.8122593384600089e-13,2.718389007690005e-14,3.2064445e-12,3.2064445000000013e-13,1.947539986749524e-19,2.9213099801242773e-20,3.4457976e-18,3.4457976000000003e-19,0,0,0,0,2.86977514340239e-10,4.304662715103573e-11,5.077515413781031e-09,5.07751541378103e-10,-1.17E-12,-1.76E-13,-2.07E-11,-2.07E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3309,2M-1326,2021 Q3,PROCESS WATER,Indirect Utilities,ETHYLENE FROM ETHANOL BY ADIABATIC FIXED-BED CATALYTIC DEHYDRATION,2007,Germany,ETHYLENE,0.008929579,kg/kg,MM KG/yr,Utilities,IHS PEP,0.000446479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
