Feedstock,ihs_match
NAPHTHA,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM PROPYLENE, FRONT END DEPROPANIZER"
NAPHTHA,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM PROPYLENE, FRONT END DEPROPANIZER WITH GAS TURBINE DRIVER"
NAPHTHA,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEPROPANIZER WITH GAS TURBINE DRIVER"
NAPHTHA,"ETHYLENE FROM WIDE RANGE NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEPROPANIZER WITH GAS TURBINE DRIVER"
NAPHTHA,"ETHYLENE FROM WIDE RANGE NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER"
NAPHTHA,"ETHYLENE FROM WIDE RANGE NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEPROPANIZER"
NAPHTHA,"ETHYLENE FROM WIDE RANGE NAPHTHA, MAXIMUM PROPYLENE, FRONT END DEMETHANIZER"
NAPHTHA,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER"
NAPHTHA,"ETHYLENE FROM WIDE RANGE NAPHTHA, MAXIMUM PROPYLENE, FRONT END DEPROPANIZER"
NAPHTHA,"ETHYLENE FROM WIDE RANGE NAPHTHA, MAXIMUM PROPYLENE, FRONT END DEPROPANIZER WITH GAS TURBINE DRIVER"
NAPHTHA,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM PROPYLENE CASE, FRONT END DEMETHANIZER"
OTHERS,ETHYLENE FROM OXIDATIVE COUPLING OF METHANE BY SILURIA PROCESS
MID-DIST,METHANOL TO OLEFINS BY THE DMTO-II PROCESS
MID-DIST,METHANOL TO OLEFINS BY THE DMTO PROCESS II
OTHERS,ETHYLENE FROM NORMAL BUTANE
OTHERS,ETHYLENE FROM 50:50 ETHANE:PROPANE MIX
ETHANE,ETHYLENE FROM 100% ETHANE
MID-DIST,METHANOL TO OLEFINS BY THE DMTO PROCESS
OTHERS,ETHYLENE FROM ETHANOL BY ADIABATIC FIXED-BED CATALYTIC DEHYDRATION
OTHERS,ETHYLENE FROM ETHANOL BY FLUIDIZED-BED CATALYTIC DEHYDRATION
ETHANE,ETHYLENE FROM ETHANE BY STEAM CRACKING
OTHERS,ETHYLENE FROM OXIDATIVE COUPLING OF METHANE BY SILURIA PROCESS W/ ASU
MID-DIST,METHANOL TO OLEFINS BY UOP ADVANCED MTO PROCESS
NAPHTHA,ETHYLENE FROM NAPHTHA VIA ACO PROCESS
NAPHTHA,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEPROPANIZER"
