Product,Match
AMMONIA,AMMONIA
AMMONIUM NITRATE (33.5-0-0) GRANULATED,AMMONIUM NITRATE FERTILIZER
AMMONIUM NITRATE (33.5-0-0) PRILLED,
AMMONIUM NITRATE SULPHATE,
AMMONIUM SULPHATE,AMMONIUM SULFATE
CALCIUM AMMONIUM NITRATE (27-0-0),
CALCIUM NITRATE (15.5-0-0),
DAP (18-46-0),DIAMMONIUM PHOSPHATE
MIXED ACID PROCESS,
MAP (11-52-0),MONOAMMONIUM PHOSPHATE
NITRIC ACID,NITRIC ACID (99%)
NITRIC ACID,NITRIC ACID (60%)
NITROPHOSPHATE PROCESS,
SSP (0-18-0),
TSP (0-46-0),TRIS(2-CL-IP) PHOSPHATE
TSP (0-46-0),TRIS(CL-ETHYL) PHOSPHATE
TSP (0-46-0),TRIS(DICL-IP) PHOSPHATE
UREA (46-0-0),"UREA, INDUSTRIAL GRADE"
UREA (46-0-0),"UREA, AGRICULTURAL GRADE"
UAN-30,
