,Product,ihs_match
0,"1,12-DODECANEDIAMINE","1,12-DODECANEDIAMINE (DMDA) FROM 1,12-DODECANEDIOIC ACID"
1,"1,12-DODECANEDIOIC ACID","1,12-DODECANEDIOIC ACID FROM BUTADIENE"
2,"1,12-DODECANEDIOIC ACID","1,12-DODECANEDIOIC ACID FROM CYCLODODECATRIENE VIA CYCLODODECANE"
3,"1,3-BUTADIENE","1,3 BUTADIENE BY OXIDATIVE DEHYDROGENATION OF N-BUTENES BY LOW ENERGY PROCESS COMBINED WITH NMP EXTRACTION"
4,"1,3-BUTADIENE","1,3 BUTADIENE BY OXIDATIVE DEHYDROGENATION OF N-BUTENES BY DUAL BED PROCESS COMBINED WITH NMP EXTRACTION"
5,"1,3-PROPANEDIOL","1,3-PROPANEDIOL (PDO) VIA AEROBIC FERMENTATION OF GLUCOSE"
6,"1,3-PROPANEDIOL","1,3-PROPANEDIOL FROM ACROLEIN"
7,"1,3-PROPANEDIOL","1,3-PROPANEDIOL FROM ETHYLENE OXIDE"
8,"1,3-PROPANEDIOL","1,3-PROPANEDIOL FROM ETHYLENE OXIDE VIA HYDROXYESTER"
9,"1,3-PROPANEDIOL","1,3-PROPANEDIOL FROM GLUCOSE BY ANAEROBIC FERMENTATION"
10,"1,3-PROPANEDIOL","1,3-PROPANEDIOL FROM WHOLE CORN BIOREFINER"
11,"1,3-PROPANEDIOL","1,3-PROPANEDIOL VIA SHELL ONE-STEP OXO PROCESS"
12,"1,4-BUTANEDIOL","BIO-BASED 1,4-BUTANEDIOL VIA SUCCINIC ACID ROUTE (INDIRECT ROUTE)"
13,"1,4-BUTANEDIOL","1,4-BUTANEDIOL FROM PROPYLENE OXIDE (ALLYL ALCOHOL INTERMEDIATE)"
14,"1,4-BUTANEDIOL","1,4-BUTANEDIOL FROM BUTANE VIA MALEIC ACID HYDROGENATION"
15,"1,4-BUTANEDIOL","1,4-BUTANEDIOL FROM GLUCOSE (DIRECT ROUTE)"
16,"1,4-BUTANEDIOL","1,4-BUTANEDIOL FROM BUTADIENE"
17,"1,4-BUTANEDIOL","1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE (1,4-BUTYNEDIOL INTERMEDIATE)"
18,"1,4-BUTANEDIOL","1,4-BUTANEDIOL FROM ACETYLENE AND FORMALDEHYDE"
19,"1,4-BUTANEDIOL","1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)"
20,"1,4-BUTANEDIOL AND TETRAHYDROFURAN","1,4-BUTANEDIOL AND TETRAHYDROFURAN FROM BUTADIENE"
21,"1,4-CYCLOHEXANEDIMETHANOL","1,4-CYCLOHEXANEDIMETHANOL FROM DIMETHYL TEREPHTHALATE AND HYDROGEN"
