IHS_NAME,ICIS_NAME
"ACRYLIC ACID, ESTER GRADE",ACRYLIC ACID ESTERS
"ACRYLIC ACID, GLACIAL",ACRYLIC ACID
"ACRYLIC ACID COPOLYMER, SAP",ACRYLIC ACID
CHLOROBENZENE,CHLOROBENZENES
ETHYLENE GLYCOL,ETHYLENE GLYCOLS
HMDA AND CAPROLACTAM,HMDA
"MDI, HYDROGENATED",MDI
METHYL METHACRYLATE,METHYL METHACRYLATES
METHYLENE DIPHENYLENE ISOCYANATE,MDI
METHYL T-BUTYL ETHER,MTBE
NITROBENZENE,NITROBENZENES
POLYETHERETHERKETONE,POLYETHER POLYOLS
POLYETHERIMIDE,POLYETHER POLYOLS
POLYETHERKETONE,POLYETHER POLYOLS
POLYETHERKETONEKETONE,POLYETHER POLYOLS
POLYETHERNITRILE,POLYETHER POLYOLS
POLYETHERSULFONE,POLYETHER POLYOLS
PROPYLENE GLYCOL,PROPYLENE GLYCOLS
PROPYLENE GLYCOL ETHERS,PROPYLENE GLYCOLS
TEREPHTHALIC ACID,PTA
TOLUENE DIISOCYANATE,TDI
"PROPYLENE, CHEM GRADE",PROPYLENE
"PROPYLENE, REFINERY GRADE",PROPYLENE
"PROPYLENE, POLYMER GRADE",PROPYLENE
P-XYLENE,PARA-XYLENE
O-XYLENE,ORTHO-XYLENE
"XYLENES, MIXED",MIXED XYLENES
"METHANOL, CRUDE",METHANOL
ABS RESIN,ABS
DIMETHYL TEREPHTHALATE,DMT
"EPOXY NOVOLAC RESIN, ECN",EPOXY RESINS
"EPOXY NOVOLAC RESIN, EPN",EPOXY RESINS
"EPOXY, HMW, DGEBPA & BPA",EPOXY RESINS
"EPOXY, LIQUID, DGEBPA",EPOXY RESINS
"EPOXY, LIQUID, TGMDA",EPOXY RESINS
"EPOXY, SOLID",EPOXY RESINS
"EPOXY, SOLID, DGEBPA & BPA",EPOXY RESINS
"EPOXY, SOLID, TGBAPPB",EPOXY RESINS
"EPOXY, SOLID, TGETPE",EPOXY RESINS
"EPOXY, SOLID, TGPAP",EPOXY RESINS
ETHYLENE/VA COPOLYMER,EVA COPOLYMERS
PET PELLETS (30% GF),PET RESINS
PET PELLETS (IV=0.6),PET RESINS
PET PELLETS (IV=0.7),PET RESINS
PET PELLETS (IV=0.8),PET RESINS
PET PELLETS (IV=0.82),PET RESINS
"PET PELLETS (IV=1.04), SP GRADE",PET RESINS
"PET PELLETS, GLYCOL MODIFIED",PET RESINS
PET POLYMER MELT,PET RESINS
POLYCARBONATE,POLYCARBONATES
"POLYCARBONATE, POLYESTER",POLYCARBONATES
"POLYESTER, UNSATURATED",POLYESTER POLYMER
POLYMETHYLMETHACRYLATE,POLYMETHYL METHACRYLATE
POLYETHYLENE TEREPHTHALATE,PET RESINS
"POLYETHYLENE, HD",HDPE
"POLYETHYLENE, HDPE BM",HDPE
"POLYETHYLENE, LD",LDPE
"POLYETHYLENE, LLD",LLDPE
"POLYETHYLENE, LLD BM",LLDPE
"POLYETHYLENE, VERY LD",LDPE
"POLYSTYRENE, EXP",EXPANDABLE PS
"POLYSTYRENE, ANIONIC",POLYSTYRENE
"POLYSTYRENE, GP",POLYSTYRENE
"POLYSTYRENE, HI",POLYSTYRENE
"POLYSTYRENE, SYNDIOTACTIC",POLYSTYRENE
POLYVINYL CHLORIDE,PVC
POLYVINYL CHLORIDE DISPERSION,PVC
"POLYVINYL CHLORIDE, CHLORINATED",PVC
"SB BLOCK COPOLYMER, STAR-BLOCK",SB LATICES
STYRENE-BUTADIENE BLOCK COPOLYMER,SBR (Includes SBCs)
STYRENE-BUTADIENE RUBBER,SBR (Includes SBCs)
STYRENE-BUTADIENE-STYRENE COPOLYMER,SBR (Includes SBCs)
VINYL ACETATE,VINYL ACETATE M.
VINYL ACETATE/ETHYLENE COPOLYMER,VINYL ACETATE M.
AMMONIUM NITRATE FERTILIZER,AMMONIUM NITRATE
HYDROXYLAMMONIUM SULFATE,AMMONIUM SULPHATE
"UREA, AGRICULTURAL GRADE",UREA
METHYL ETHYL KETONE,MEK
ETHYLENE-PROPYLENE COPOLYMER,EPDM
ETHYLENE GLYCOL BUTYL ETHERS,GLYCOL ETHERS
ETHYLENE GLYCOL ETHYL ETHERS,GLYCOL ETHERS
ETHYLENE GLYCOL T-BUTYL ETHER,GLYCOL ETHERS
