Column1,PRODUCT,Product group,Product type
223,(Cp)2ZrCl2,Intermediates,Intermediates
220,(n-BuCp)2ZrCl2,Intermediates,Intermediates
1446,[CP*2SMH]2,Intermediates,Intermediates
323,1-CHLOROBUTANE,Intermediates,Intermediates
731,1-DECENE,Intermediates,Intermediates
730,1-DODECENE,Intermediates,Intermediates
324,1-METHYLIMIDAZOLE,Intermediates,Intermediates
184,1-OCTANOL,Intermediates,Intermediates
802,"1,12-DODECANEDIOIC ACID",Intermediates,Intermediates
456,"1,3-PROPANEDIOL",Intermediates,Intermediates
391,"1,4-CYCLOHEXANEDIMETHANOL",Intermediates,Intermediates
909,"1,4-HEXADIENE",Intermediates,Intermediates
1004,2-ETHYLANTHRAQUINONE,Intermediates,Intermediates
1341,2-MERCAPTOETHANOL,Intermediates,Intermediates
494,2-PICOLINE,Intermediates,Intermediates
1507,"2,2'-AZOBIS(2-AP-HCL)",Intermediates,Intermediates
1370,"2,2'-DITHIOBISBENZOTHIAZOLE",Intermediates,Intermediates
1455,"2,4-DIAMINOTOLUENE",Intermediates,Intermediates
1325,"2,4-DIMETHYL BENZALDEHYDE",Intermediates,Intermediates
1372,"2,5-DM-2,5-DI(TBP)HEXANE",Intermediates,Intermediates
1377,"2,5-DM-2,5-DI(TBP)HEXENE",Intermediates,Intermediates
235,"2,6-DI-T-BUTYL-P-CRESOL",Intermediates,Intermediates
937,"2,6-DI-TERT-BUTYLPHENOL",Intermediates,Intermediates
1426,"2,6-DICHLOROBENZONITRILE",Intermediates,Intermediates
999,"2,6-DIETHYLANILINE",Intermediates,Intermediates
1219,"2,6-DIMETHYLPHENOL",Intermediates,Intermediates
1200,3-METHYL-1-BUTYN-3-OL,Intermediates,Intermediates
1125,3-PICOLINE,Intermediates,Intermediates
1180,4-CHLORO-4-HYDROXY-BENZOPHENONE,Intermediates,Intermediates
1073,4-METHYLPENTENE-1,Intermediates,Intermediates
1182,"4,4'-DICHLORODIPHENYL SULFONE",Intermediates,Intermediates
1029,"4,4'-DIHYDROXYDIPHENYL",Intermediates,Intermediates
925,"4,4'-METHYLENEDIANILINE",Intermediates,Intermediates
1126,"4,4'-OXYDIANILINE",Intermediates,Intermediates
1026,6-HYDROXY-2-NAPHTHOIC ACID,Intermediates,Intermediates
1256,AA-EGDA COPOLYMER,Intermediates,Intermediates
1384,ABS RESIN,Thermoplastics,Downstream
104,ABSORBENTS,,
598,ABSORBER OIL,,
11,ACETIC ANHYDRIDE,Intermediates,Intermediates
305,ACETONITRILE,Intermediates,Intermediates
566,"ACETONITRILE, CRUDE",Intermediates,Intermediates
851,ACETYLACETONE,Intermediates,Intermediates
250,ACETYLCYCLOHEXYL SULFONYLPEROXIDE,Intermediates,Intermediates
502,ACETYLENE,Intermediates,Intermediates
1291,ACHN,,
1338,ACID STABILIZER,,
1386,ACRAWAX C,,
1054,ACROLEIN,,
1139,ACRYLAMIDE,Intermediates,Intermediates
97,"ACRYLIC ACID, ESTER GRADE",Intermediates,Intermediates
584,"ACRYLIC ACID, GLACIAL",Intermediates,Intermediates
1387,ACRYLOID K-147,Intermediates,Intermediates
81,ACTIVATED CARBON,,
946,"ACTIVATED CARBON, SULFURIZED",,
476,ACTIVATED CARBON.,,
1268,ACTIVATED SLUDGE,,
582,ADDITIVE,,
440,"ADDITIVE, PHENOL",Intermediates,Intermediates
322,ADDITIVES,,
1342,ADMVN,,
617,ADS-37 DESORBENT,,
43,ADSORBENT,,
1345,AEROSOL-MA(R),,
540,AGR SOLVENT,,
755,AIR,,
570,ALAMINE 336,Intermediates,Intermediates
1458,ALAMINE 336(R),Intermediates,Intermediates
1011,ALCOHOL ETHOXYLATE,Intermediates,Intermediates
1194,ALKYL ALUMINUM SILOXIDE,Intermediates,Intermediates
1421,ALKYL TITANATE,Intermediates,Intermediates
153,ALKYLBENZENE,Intermediates,Intermediates
1231,ALLYL BROMIDE,Intermediates,Intermediates
922,ALLYL CHLORIDE,Intermediates,Intermediates
299,ALPHA AMYLASE,Intermediates,Intermediates
518,ALPHA CHLORONAPHTHALENE,Intermediates,Intermediates
741,ALPHA OLEFIN,Intermediates,Intermediates
1230,ALPHA-METHYLSTYRENE,Intermediates,Intermediates
355,ALUM,,
473,ALUMINA,,
459,ALUMINA TRIHYDRATE,,
697,"ALUMINA, ACTIVATED",,
1119,"ALUMINOSILICATE, CALCINED",,
412,ALUMINUM ACTIVATOR,,
6,ALUMINUM CHLORIDE,,
939,ALUMINUM CHLORIDE (32BE),,
841,ALUMINUM CHLOROHYDRATE,,
410,ALUMINUM ETHYL SESQUICHLORIDE,,
389,ALUMINUM HYDRATE,,
262,ALUMINUM ISOPROPYLATE,,
1284,ALUMINUM PELLETS,,
707,ALUMINUM POWDER,,
822,ALUMINUM SULFATE,,
630,ALUMINUM TRIETHYL,,
1019,ALUMINUM TRIETHYL.,,
1189,ALUMINUM TRIMETHYL,,
1359,ALUMINUM WIRE,,
859,ALUMINUM-POTASSIUM SULFATE,,
524,AMBERLITE(R) IRA-96,,
626,AMBERLITE(R) LA-2,,
520,AMBERLYST(R) A-21,,
363,AMINE HARDENER,,
1144,AMINE OIL,,
1081,AMINOUNDECANOIC ACID,,
1,AMMONIA (AQUEOUS),Primary chemicals,Primary chemicals
58,AMMONIUM APFO,Intermediates,Intermediates
364,AMMONIUM BICARBONATE,Intermediates,Intermediates
418,AMMONIUM BIFLUORIDE,Intermediates,Intermediates
1524,AMMONIUM BISULFATE WASTE,Intermediates,Intermediates
1235,AMMONIUM CARBONATE,Intermediates,Intermediates
669,AMMONIUM CHLORIDE,Intermediates,Intermediates
780,AMMONIUM FLUOROBORATE,Intermediates,Intermediates
445,AMMONIUM HEPTAMOLYBDATE,Intermediates,Intermediates
657,AMMONIUM HYDROXIDE,Intermediates,Intermediates
846,AMMONIUM METATUNGSTATE,Intermediates,Intermediates
526,AMMONIUM MOLYBDENUM,Intermediates,Intermediates
832,AMMONIUM NITRATE FERTILIZER,Intermediates,Intermediates
59,AMMONIUM PERSULFATE,Intermediates,Intermediates
842,AMMONIUM SULFATE,Intermediates,Intermediates
218,AMMONIUM VANADATE,Intermediates,Intermediates
573,ANION EXCHANGE RESIN,,
342,ANISOLE,,
543,"ANODE LEASE, MERCURY",,
510,ANTIFOAM (CORN OIL),,
1113,ANTIFOAM AGENT,,
631,ANTIMONY CHLORIDE,,
392,ANTIMONY TRIOXIDE,,
514,ANTIOXIDANT,,
1294,"ANTIOXIDANT, SBS",,
827,"ANTIOXIDANT, TP",,
1137,ANTIOXIDANT.,,
1264,APFD SURFACTANT,,
1232,APFO,,
1277,ARGON,,
1005,AROMATIC SOLVENT,Intermediates,Intermediates
421,AS-990,,
585,ASCORBIC ACID,Intermediates,Intermediates
7,ASH DISPOSAL,,
428,ATMOSPHERIC RESID FEED,,
112,Au ON TITANIA-SILICA,,
1505,AZOBIS AMIDINOPROPANE,,
505,AZOBISISOBUTYRONITRILE,,
128,BAGASSE,,
930,BAPPB,,
1289,BARIUM CARBONATE,Intermediates,Intermediates
1286,BARIUM CHLORIDE,Intermediates,Intermediates
1381,BARIUM-CADMIUM SOAP,,
1117,BENZOIC ACID,Intermediates,Intermediates
1014,BENZOTRICHLORIDE,Intermediates,Intermediates
862,BENZOYL CHLORIDE,Intermediates,Intermediates
1149,BENZOYL PEROXIDE,Intermediates,Intermediates
924,BENZYLTRIETHYLAMMONIUM CHLORIDE,Intermediates,Intermediates
1013,BETA-NAPHTHOL,,
539,BFW TREATING CHEMICALS,,
1469,BIOCIDE,,
571,BIODIESEL,,
310,BIOMASS FEEDSTOCK,,
725,BIOMASS SYNGAS,,
446,BISMUTH NITRATE,,
874,"BISPHENOL A, EPOXY GRADE",Intermediates,Intermediates
345,"BISPHENOL A, PC GRADE",Intermediates,Intermediates
1382,BLACK PIGMENT,,
1330,BLEACHED KRAFT PULP,,
870,BLEACHING CHEMICALS,,
843,"BOEHMITE, LARGE CRYSTALLINE",,
833,"BOEHMITE, LOW SODIUM, FINE",,
362,BOILER FEEDWATER,,
221,BORATE-ACTIVATED SUPPORT,,
694,BORIC ACID,Intermediates,Intermediates
1161,BORON TRICHLORIDE,Intermediates,Intermediates
745,BORON TRIFLUORIDE,Intermediates,Intermediates
1298,BPEB,,
708,BROMINE,,
1378,BROMOBUTYL RUBBER,Intermediates,Intermediates
1201,BROMONITROBENZENE,Intermediates,Intermediates
1202,BTDA,Intermediates,Intermediates
284,BTPP BICARBONATE,Intermediates,Intermediates
490,BTX EXTRACTION RAFFINATE,Primary chemicals,Primary chemicals
627,BUTADIENE RAFFINATE,Primary chemicals,Primary chemicals
681,BUTANES.,Intermediates,Intermediates
453,BUTENE-1,Intermediates,Intermediates
1485,BUTENE-1 IN MIXED B-B,Intermediates,Intermediates
599,BUTENES FEED,Intermediates,Intermediates
1317,BUTYL BROMIDE,Intermediates,Intermediates
795,BUTYL CHLORIDE,Intermediates,Intermediates
716,BUTYLATED HYDROXYTOLUENE,Intermediates,Intermediates
765,BUTYLENES (ALKY FEED),Intermediates,Intermediates
