Annual Net emissions/removals 
Query results for — Party: Afghanistan and 92 other(s) | Year: 1990 and 29 other(s) | Category: 2.B  Chemical Industry | Classification: Total for category | Type of value: Net emissions/removals | Gas: Aggregate GHGs and 7 other(s) | Unit: Gg and 1 other(s)

Year,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Gas,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs,CO,NMVOC,NOₓ,SO₂,CO₂,CO₂,CH₄,CH₄,N₂O,N₂O,Aggregate GHGs
Party \ Unit,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent,Gg,Gg,Gg,Gg,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg,Gg CO₂ equivalent,Gg CO₂ equivalent
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0254,0.0254,NE,NE,NE,NE,0.0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,NO,NO,NO,NO,40,,,,,40,40,NO,NO,NO,NO,40,,,,,,,NO,NO,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,,,,,,,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,551,551,,,1,310,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14,2.77,1.26,0.65,786.3,786.3,0.27,5.67,0.95,294.5,1086.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,3.57028,7.9891945,9.922188962,3.9336144,279.0404576,279.0404576,0.949487276,19.939232796000002,0.4089,126.759,425.738690396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.865712,8.2076737,8.736904964,3.903897,599.4067804,599.4067804,1.053080122,22.114682562,0.4357395,135.07924500000001,756.600707962,,,,,,,,,,,,,,,,,,,,,,,5.555586,9.2856639,10.038012802,4.518304,645.9379247,645.9379247,1.296190212,27.219994451999998,0.476615,147.75065,820.908569152,,,,,,,,,,,,,,,,,,,,,,,4.074482,9.8784734,12.81931601,4.2485068,868.08343232,868.08343232,1.285438521,26.994208940999997,0.468901,145.35931,1040.436951261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,15.67,15.72,0.29,1868.2,1868.2,2.27190476190476,47.70999999999996,0.39761290322581,123.2600000000011,2039.17,,,,,,,,,,,,8.49,16.3,17.9,0.26,1906.47,1906.47,2.23380952380952,46.909999999999926,0.46890322580645,145.3599999999995,2098.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,NO,NO,NO,NO,NE,NE,NO,NO,NO,NO,"NE,NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,38.1,38.1,,,,,38.1,,,,,29.1,29.1,,,,,29.1,,,,,20.4,20.4,,,,,20.4,,,,,22.2,22.2,,,,,22.2,,,,,5.55,5.55,,,,,5.55,,,,,1.2,1.2,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE,NE,IE,IE,176.5465,176.5465,0.2355,4.9455,NA,NA,181.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,1102,1102,2.1,44.1,,,1146.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,639,639,,,,,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
