"Annual Net emissions/removals, Production and Implied emission factor "
Query results for — Party: Australia and 44 other(s) | Year: 1990 and 3 other(s) | Category: 2.B  Chemical Industry and 31 other(s) | Classification: Total for category | Type of value: Net emissions/removals and 2 other(s) | Gas: Aggregate GHGs and 8 other(s) | Unit: kt and 4 other(s)

 ,Year,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020),Last Inventory Year (2020)
 ,Type of value,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Implied emission factor,Implied emission factor,Implied emission factor,Production,Production,Production,Implied emission factor,Implied emission factor,Implied emission factor,Production,Production,Production,Production,Production,Production,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Implied emission factor,Implied emission factor,Implied emission factor,Production,Production,Production,Implied emission factor,Implied emission factor,Implied emission factor,Production,Production,Production,Production,Production,Production,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Implied emission factor,Implied emission factor,Implied emission factor,Production,Production,Production,Implied emission factor,Implied emission factor,Implied emission factor,Production,Production,Production,Production,Production,Production,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Net emissions/removals,Implied emission factor,Implied emission factor,Implied emission factor,Production,Production,Production,Implied emission factor,Implied emission factor,Implied emission factor,Production,Production,Production,Production,Production,Production
 ,Gas,CH₄,CH₄,CH₄,SF₆,SF₆,SF₆,CO₂,CO₂,CO₂,N₂O,N₂O,N₂O,NF₃,NF₃,NF₃,Aggregate GHGs,C5F₁₂,C5F₁₂,C5F₁₂,CO,CO,NOₓ,NOₓ,CO₂,CH₄,N₂O,C5F₁₂,C5F₁₂,C5F₁₂,C5F₁₂,NF₃,SF₆,SF₆,SF₆,SF₆,NF₃,NF₃,NF₃,CH₄,CH₄,CH₄,SF₆,SF₆,SF₆,CO₂,CO₂,CO₂,N₂O,N₂O,N₂O,NF₃,NF₃,NF₃,Aggregate GHGs,C5F₁₂,C5F₁₂,C5F₁₂,CO,CO,NOₓ,NOₓ,CO₂,CH₄,N₂O,C5F₁₂,C5F₁₂,C5F₁₂,C5F₁₂,NF₃,SF₆,SF₆,SF₆,SF₆,NF₃,NF₃,NF₃,CH₄,CH₄,CH₄,SF₆,SF₆,SF₆,CO₂,CO₂,CO₂,N₂O,N₂O,N₂O,NF₃,NF₃,NF₃,Aggregate GHGs,C5F₁₂,C5F₁₂,C5F₁₂,CO,CO,NOₓ,NOₓ,CO₂,CH₄,N₂O,C5F₁₂,C5F₁₂,C5F₁₂,C5F₁₂,NF₃,SF₆,SF₆,SF₆,SF₆,NF₃,NF₃,NF₃,CH₄,CH₄,CH₄,SF₆,SF₆,SF₆,CO₂,CO₂,CO₂,N₂O,N₂O,N₂O,NF₃,NF₃,NF₃,Aggregate GHGs,C5F₁₂,C5F₁₂,C5F₁₂,CO,CO,NOₓ,NOₓ,CO₂,CH₄,N₂O,C5F₁₂,C5F₁₂,C5F₁₂,C5F₁₂,NF₃,SF₆,SF₆,SF₆,SF₆,NF₃,NF₃,NF₃
Party,Category \ Unit,kt,t,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt,t,kt CO₂ equivalent,kt,t,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt,t,kt,t,t/t,t/t,t/t,t,kt,kt CO₂ equivalent,kg/t,kg/t,kg/t,t,kt,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt,t,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt,t,kt CO₂ equivalent,kt,t,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt,t,kt,t,t/t,t/t,t/t,t,kt,kt CO₂ equivalent,kg/t,kg/t,kg/t,t,kt,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt,t,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt,t,kt CO₂ equivalent,kt,t,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt,t,kt,t,t/t,t/t,t/t,t,kt,kt CO₂ equivalent,kg/t,kg/t,kg/t,t,kt,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt,t,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt,t,kt CO₂ equivalent,kt,t,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt CO₂ equivalent,t,kt,kt CO₂ equivalent,kt,t,kt,t,t/t,t/t,t/t,t,kt,kt CO₂ equivalent,kg/t,kg/t,kg/t,t,kt,kt CO₂ equivalent,t,kt,kt CO₂ equivalent
Australia,2.B  Chemical Industry,0.437626074,437.62607399999996,10.94065185,NO,NO,NO,1054.6897029809475,1054689.7029809474,1054.6897029809475,3.33906306,3339.06306,995.04079188,NO,NO,NO,3485.3546667109476,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,0.5786838,578.6838,14.467094999999999,NO,NO,NO,1696.086563176001,1696086.563176001,1696.086563176001,5.82024282645161,5820.242826451609,1734.4323622825798,NO,NO,NO,3444.9860204585807,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,0.5777636,577.7636,14.444090000000001,NO,NO,NO,3538.273107575628,3538273.107575628,3538.273107575628,10.5154020419058,10515.4020419058,3133.589808487928,NO,NO,NO,6686.307006063556,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,0.4336,433.59999999999997,10.84,NO,NO,NO,2987.154781231551,2987154.781231551,2987.154781231551,6.53348904473155,6533.48904473155,1946.979735330002,NO,NO,NO,4944.974516561553,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,
Australia,2.B.1  Ammonia Production,NO,NO,NO,,,,543.839287657558,543839.287657558,543.839287657558,NO,NO,NO,,,,543.839287657558,,,,NO,NO,NO,NO,1.4136602286832,NO,NO,,,,,,,,,,,,,NO,NO,NO,,,,651.339172295957,651339.172295957,651.339172295957,NO,NO,NO,,,,651.339172295957,,,,NO,NO,NO,NO,1.42894577722964,NO,NO,,,,,,,,,,,,,NO,NO,NO,,,,2391.13981856743,2391139.81856743,2391.13981856743,NO,NO,NO,,,,2391.13981856743,,,,NO,NO,NO,NO,1.43099741374988,NO,NO,,,,,,,,,,,,,NO,NO,NO,,,,2135.3157059223,2135315.7059223,2135.3157059223,NO,NO,NO,,,,2135.3157059223,,,,NO,NO,NO,NO,1.33703466457944,NO,NO,,,,,,,,,,,,
Australia,2.B.2  Nitric Acid Production,,,,,,,,,,3.33906306,3339.06306,995.04079188,,,,995.04079188,,,,,,NO,NO,,,0.01123518427171,,,,,,,,,,,,,,,,,,,,,,5.82024282645161,5820.242826451609,1734.4323622825798,,,,1734.4323622825798,,,,,,NO,NO,,,0.01085149514398,,,,,,,,,,,,,,,,,,,,,,10.5154020419058,10515.4020419058,3133.589808487928,,,,3133.589808487928,,,,,,NO,NO,,,0.00817453608475,,,,,,,,,,,,,,,,,,,,,,6.53348904473155,6533.48904473155,1946.979735330002,,,,1946.979735330002,,,,,,NO,NO,,,0.00359913959554,,,,,,,,,,,,
Australia,2.B.3  Adipic Acid Production,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,NO,NO,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,NO,NO,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,NO,NO,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,NO,NO,NO,NO,NO,,NO,,,,,,,,,,,,
Australia,"2.B.4  Caprolactam, Glyoxal and Glyoxylic Acid Production",,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,,,,,,,,,,,,,,,
Australia,2.B.4.a  Caprolactam,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,NO,,NO,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,NO,,NO,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,NO,,NO,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,NO,,NO,,,,,,,,,,,,
Australia,2.B.4.b  Glyoxal,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,NO,,NO,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,NO,,NO,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,NO,,NO,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,,NO,,,,,,,,NO,,NO,,,,,,,,,,,,
