,Product,ifa_CO2e_100a_Raw Material factor,ifa_CO2e_100a_Indirect Utilities factor,ifa_CO2e_100a_CtOG factor,ifa_CO2e_100a_Direct Process factor,ifa_CO2e_100a_Direct Utilities factor,ifa_CO2e_100a_Raw Material sigma,ifa_CO2e_100a_Indirect Utilities sigma,ifa_CO2e_100a_CtOG sigma,ifa_CO2e_100a_Direct Process sigma,ifa_CO2e_100a_Direct Utilities sigma
0,Ammonia,0.0,0.395,2.297,-0.0,1.901,0.0,0.03950000000000001,0.22970000000000002,-0.0,0.19010000000000002
1,Ammonium nitrate (33.5-0-0) granulated,0.0,0.173,1.145,-0.0,0.971,0.0,0.0173,0.1145,-0.0,0.0971
2,Ammonium nitrate (33.5-0-0) prilled,0.0,0.166,1.112,-0.0,0.945,0.0,0.0166,0.11120000000000002,-0.0,0.0945
3,Ammonium nitrate sulphate,0.0,0.13,0.797,-0.0,0.667,0.0,0.013000000000000001,0.07970000000000001,-0.0,0.06670000000000001
4,Ammonium sulphate,0.0,0.1009999999999999,0.563,-0.0,0.462,0.0,0.010099999999999991,0.056299999999999996,-0.0,0.046200000000000005
5,Calcium ammonium nitrate (27-0-0),0.0139999999999999,0.142,0.95,-0.0,0.794,0.00139999999999999,0.014199999999999999,0.095,-0.0,0.07940000000000001
6,Calcium nitrate (15.5-0-0),0.0,0.089,0.636,-0.0,0.5469999999999999,0.0,0.0089,0.0636,-0.0,0.0547
7,DAP (18-46-0),0.074,0.091,0.562,-0.0,0.3979999999999999,0.0074,0.0091,0.05620000000000001,-0.0,0.039799999999999995
8,Mixed acid process,0.0819999999999999,0.0819999999999999,0.595,-0.0,0.431,0.00819999999999999,0.00819999999999999,0.0595,-0.0,0.0431
9,MAP (11-52-0),0.083,0.0559999999999999,0.366,-0.0,0.2269999999999999,0.0083,0.00559999999999999,0.0366,-0.0,0.02269999999999999
10,Nitric acid,0.0,0.092,0.738,-0.0,0.646,0.0,0.0092,0.0738,-0.0,0.0646
11,Nitrophosphate process,0.081,0.098,0.6829999999999999,-0.0,0.504,0.008100000000000001,0.009800000000000001,0.0683,-0.0,0.0504
12,SSP (0-18-0),0.03,0.006,0.052,-0.0,0.016,0.003,0.0006000000000000001,0.0052,-0.0,0.0016
13,TSP (0-46-0),0.074,0.012,0.115,-0.0,0.0289999999999999,0.0074,0.0012000000000000001,0.011500000000000002,-0.0,0.0028999999999999903
14,Urea (46-0-0),0.0,0.278,0.145,-0.733,0.6,0.0,0.027800000000000005,0.014499999999999999,-0.0733,0.06
15,UAN-30,0.0,0.165,0.543,-0.239,0.6160000000000001,0.0,0.0165,0.05430000000000001,-0.0239,0.061600000000000016
