,Code,Data Version,Source/Object,Type,Target/Process,Research Year,Country/Reg,Product,Value,Value unit,Capacity unit,MeasType,Provenance,Value_sigma
6247,2M-1614,2021 Q3,C4 FRACTION8,By-Product,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER",2014,Germany,ETHYLENE,-0.30185456,kg/kg,MM KG/yr,Recipe,IHS PEP,0.005294
6248,2M-1614,2021 Q3,"PROPYLENE, POLYMER GRADE",By-Product,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER",2014,Germany,ETHYLENE,-0.372527878,kg/kg,MM KG/yr,Recipe,IHS PEP,0.024917853
6249,2M-1614,2021 Q3,PYROLYSIS GASOLINE,By-Product,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER",2014,Germany,ETHYLENE,-0.253267388,kg/kg,MM KG/yr,Recipe,IHS PEP,0.007040965
6250,2M-1614,2021 Q3,HYDROGEN (95 VOL%),By-Product,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER",2014,Germany,ETHYLENE,-0.000996329,kg/kg,MM KG/yr,Recipe,IHS PEP,0.001207359
6251,2M-1614,2021 Q3,FUEL GAS,By-Product,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER",2014,Germany,ETHYLENE,-0.474281394,kg/kg,MM KG/yr,Recipe,IHS PEP,0.014369045
6252,2M-1614,2021 Q3,FUEL OIL.,By-Product,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER",2014,Germany,ETHYLENE,-0.076196723,kg/kg,MM KG/yr,Recipe,IHS PEP,0.003602662
6253,2M-1614,2021 Q3,CATALYST AND CHEMICALS,Raw Material,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER",2014,Germany,ETHYLENE,0,,MM KG/yr,Recipe,IHS PEP,0
6254,2M-1614,2021 Q3,"NAPHTHA, LIGHT",Raw Material,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER",2014,Germany,ETHYLENE,0.567496958,kg/kg,MM KG/yr,Recipe,IHS PEP,0.058102571
6255,2M-1614,2021 Q3,COOLING WATER,Utilities,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER",2014,Germany,ETHYLENE,21.59025352,kg/kg,MM KG/yr,Utilities,IHS PEP,3.3139612
6256,2M-1614,2021 Q3,ELECTRICITY,Utilities,"ETHYLENE FROM LIGHT VIRGIN NAPHTHA, MAXIMUM ETHYLENE, FRONT END DEMETHANIZER",2014,Germany,ETHYLENE,0.056432119,kWh/kg,MM KG/yr,Utilities,IHS PEP,0.002833435
